"COUNTRY","Country","VARIABLE","Variable","YEAR","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"TUR","Turkey","T-ACCI-TOT","Road injury accidents","2000","2000","NBR","Number","0","Units",,,75991,,
"TUR","Turkey","T-ACCI-TOT","Road injury accidents","2001","2001","NBR","Number","0","Units",,,66243,,
"TUR","Turkey","T-ACCI-TOT","Road injury accidents","2002","2002","NBR","Number","0","Units",,,65748,,
"TUR","Turkey","T-ACCI-TOT","Road injury accidents","2003","2003","NBR","Number","0","Units",,,67031,,
"TUR","Turkey","T-ACCI-TOT","Road injury accidents","2004","2004","NBR","Number","0","Units",,,77008,,
"TUR","Turkey","T-ACCI-TOT","Road injury accidents","2005","2005","NBR","Number","0","Units",,,87273,,
"TUR","Turkey","T-ACCI-TOT","Road injury accidents","2006","2006","NBR","Number","0","Units",,,96128,,
"TUR","Turkey","T-ACCI-TOT","Road injury accidents","2007","2007","NBR","Number","0","Units",,,106994,,
"TUR","Turkey","T-ACCI-TOT","Road injury accidents","2008","2008","NBR","Number","0","Units",,,104212,,
"TUR","Turkey","T-ACCI-TOT","Road injury accidents","2009","2009","NBR","Number","0","Units",,,111121,,
"TUR","Turkey","T-ACCI-TOT","Road injury accidents","2010","2010","NBR","Number","0","Units",,,116804,,
"TUR","Turkey","T-ACCI-TOT","Road injury accidents","2011","2011","NBR","Number","0","Units",,,131845,,
"TUR","Turkey","T-ACCI-TOT","Road injury accidents","2012","2012","NBR","Number","0","Units",,,153552,,
"TUR","Turkey","T-ACCI-TOT","Road injury accidents","2013","2013","NBR","Number","0","Units",,,161306,,
"TUR","Turkey","T-ACCI-TOT","Road injury accidents","2014","2014","NBR","Number","0","Units",,,168512,,
"TUR","Turkey","T-ACCI-TOT","Road injury accidents","2015","2015","NBR","Number","0","Units",,,183011,,
"TUR","Turkey","T-ACCI-TOT","Road injury accidents","2016","2016","NBR","Number","0","Units",,,185128,,
"TUR","Turkey","T-ACCI-TOT","Road injury accidents","2017","2017","NBR","Number","0","Units",,,182669,,
"TUR","Turkey","T-ACCI-TOT","Road injury accidents","2018","2018","NBR","Number","0","Units",,,186832,,
"AZE","Azerbaijan","T-ACCI-CAS","Road casualties (injured + killed)","2000","2000","PER","Persons","0","Units",,,2199,,
"AZE","Azerbaijan","T-ACCI-CAS","Road casualties (injured + killed)","2001","2001","PER","Persons","0","Units",,,2787,,
"AZE","Azerbaijan","T-ACCI-CAS","Road casualties (injured + killed)","2002","2002","PER","Persons","0","Units",,,3128,,
"AZE","Azerbaijan","T-ACCI-CAS","Road casualties (injured + killed)","2003","2003","PER","Persons","0","Units",,,3415,,
"AZE","Azerbaijan","T-ACCI-CAS","Road casualties (injured + killed)","2004","2004","PER","Persons","0","Units",,,3577,,
"AZE","Azerbaijan","T-ACCI-CAS","Road casualties (injured + killed)","2005","2005","PER","Persons","0","Units",,,4733,,
"AZE","Azerbaijan","T-ACCI-CAS","Road casualties (injured + killed)","2006","2006","PER","Persons","0","Units",,,4633,,
"AZE","Azerbaijan","T-ACCI-CAS","Road casualties (injured + killed)","2007","2007","PER","Persons","0","Units",,,4539,,
"AZE","Azerbaijan","T-ACCI-CAS","Road casualties (injured + killed)","2008","2008","PER","Persons","0","Units",,,4284,,
"AZE","Azerbaijan","T-ACCI-CAS","Road casualties (injured + killed)","2009","2009","PER","Persons","0","Units",,,3974,,
"AZE","Azerbaijan","T-ACCI-CAS","Road casualties (injured + killed)","2010","2010","PER","Persons","0","Units",,,3796,,
"AZE","Azerbaijan","T-ACCI-CAS","Road casualties (injured + killed)","2011","2011","PER","Persons","0","Units",,,4047,,
"AZE","Azerbaijan","T-ACCI-CAS","Road casualties (injured + killed)","2012","2012","PER","Persons","0","Units",,,4165,,
"AZE","Azerbaijan","T-ACCI-CAS","Road casualties (injured + killed)","2013","2013","PER","Persons","0","Units",,,4112,,
"AZE","Azerbaijan","T-ACCI-CAS","Road casualties (injured + killed)","2014","2014","PER","Persons","0","Units",,,3800,,
"AZE","Azerbaijan","T-ACCI-CAS","Road casualties (injured + killed)","2015","2015","PER","Persons","0","Units",,,3159,,
"AZE","Azerbaijan","T-ACCI-CAS","Road casualties (injured + killed)","2016","2016","PER","Persons","0","Units",,,2762,,
"AZE","Azerbaijan","T-ACCI-CAS","Road casualties (injured + killed)","2017","2017","PER","Persons","0","Units",,,2469,,
"AZE","Azerbaijan","T-ACCI-CAS","Road casualties (injured + killed)","2018","2018","PER","Persons","0","Units",,,2433,,
"BGR","Bulgaria","T-ACCI-TOT","Road injury accidents","2000","2000","NBR","Number","0","Units",,,6886,,
"BGR","Bulgaria","T-ACCI-TOT","Road injury accidents","2001","2001","NBR","Number","0","Units",,,6709,,
"BGR","Bulgaria","T-ACCI-TOT","Road injury accidents","2002","2002","NBR","Number","0","Units",,,6769,,
"BGR","Bulgaria","T-ACCI-TOT","Road injury accidents","2003","2003","NBR","Number","0","Units",,,6997,,
"BGR","Bulgaria","T-ACCI-TOT","Road injury accidents","2004","2004","NBR","Number","0","Units",,,7612,,
"BGR","Bulgaria","T-ACCI-TOT","Road injury accidents","2005","2005","NBR","Number","0","Units",,,8224,,
